french_name,inci_name,cas_number,pubchem_cid,notes
ap9,NONOXYNOL-9,9016-45-9,24756940,Nonylphenol ethoxylate 9 EO
ap 9,NONOXYNOL-9,9016-45-9,24756940,Nonylphenol ethoxylate 9 EO
les na,SODIUM LAURETH SULFATE,9004-82-4,23665763,LES-Na 70% solution
les 70%,SODIUM LAURETH SULFATE,9004-82-4,23665763,LES-Na 70% solution
les,SODIUM LAURETH SULFATE,9004-82-4,23665763,
l.e.s na à 70%,SODIUM LAURETH SULFATE,9004-82-4,23665763,
bg,BUTOXYETHANOL,111-76-2,8057,Butyl glycol / Butyl cellosolve
butyle glycol,BUTOXYETHANOL,111-76-2,8057,Butyl glycol
mpg,PROPYLENE GLYCOL,57-55-6,1030,Mono Propylene Glycol
ddbsh,SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,DDBSH = dodecylbenzene sulfonate
acide sulfonique (ddbsh),SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,
acide sulfonique ddbsh,SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,
betaine,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,Assumed CAPB; confirm
bétaïne,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,Assumed CAPB; confirm
formol,FORMALDEHYDE,50-00-0,712,Formol = 37% formaldehyde solution
naoh,SODIUM HYDROXIDE,1310-73-2,14798,
naoh pur,SODIUM HYDROXIDE,1310-73-2,14798,
nacl,SODIUM CHLORIDE,7647-14-5,5234,
sel industriel nacl,SODIUM CHLORIDE,7647-14-5,5234,
edta,TETRASODIUM EDTA,64-02-8,33040,Tetrasodium EDTA assumed; could be disodium
e.d.t.a,TETRASODIUM EDTA,64-02-8,33040,
ap7,NONOXYNOL-7,9016-45-9,24756940,Nonylphenol ethoxylate 7 EO
menthol,MENTHOL,89-78-1,16666,
glycerine,GLYCERIN,56-81-5,753,
glycérine,GLYCERIN,56-81-5,753,
glycerine codex,GLYCERIN,56-81-5,753,Pharmaceutical grade
glycérine codex,GLYCERIN,56-81-5,753,
sorbitol,SORBITOL,50-70-4,5780,
paraffine,PARAFFIN,8002-74-2,6922266,
talc,TALC,14807-96-6,24961609,
lanoline,LANOLIN,8006-54-0,11970101,
carbomer 980 ou 940,CARBOMER,9003-01-4,2723949,Crosslinked polyacrylic acid
carbomer,CARBOMER,9003-01-4,2723949,
irgasan dp 300,TRICLOSAN,3380-34-5,5564,Trade name Irgasan DP300
irgasan dp300,TRICLOSAN,3380-34-5,5564,
