inci_name,cluster_id,cluster_label,pca_x,pca_y
FORMALDEHYDE,1,Preservatives & Antimicrobials,-6.790199265787211,-0.2027421320562981
NONOXYNOL-9,0,Surfactants & Emulsifiers,1.241323276150578,-0.7945706307781504
SODIUM LAURETH SULFATE,1,Preservatives & Antimicrobials,0.5126345250087482,1.3043839640210892
COCAMIDOPROPYL BETAINE,0,Surfactants & Emulsifiers,0.9550507481182261,-1.7969078891678392
GLYCERIN,1,Preservatives & Antimicrobials,-5.145861986721756,-0.8766884652602885
SODIUM DODECYLBENZENESULFONATE,0,Surfactants & Emulsifiers,-1.5700945073938795,0.4015028211841639
SODIUM HYDROXIDE,1,Preservatives & Antimicrobials,-6.917014788570585,2.6226077175250433
TETRASODIUM EDTA,0,Surfactants & Emulsifiers,0.14972869729289373,-0.777386590078475
CI 19140,0,Surfactants & Emulsifiers,5.592741184712931,6.8975244085352925
DISODIUM DISTYRYLBIPHENYL DISULFONATE,0,Surfactants & Emulsifiers,0.17226650746544045,-0.7594731233435792
TRIETHANOLAMINE,1,Preservatives & Antimicrobials,-3.5727342743145365,-1.0018610079598953
BUTOXYETHANOL,1,Preservatives & Antimicrobials,-5.803495368568765,-1.4122391904851241
ETHYLENE GLYCOL,1,Preservatives & Antimicrobials,-5.843628125270278,-0.5741348205675846
SULFURIC ACID,1,Preservatives & Antimicrobials,-5.783145319145826,1.0887559559492257
PARAFFIN,1,Preservatives & Antimicrobials,-2.569597088741033,-1.5025405599332609
CI 12140,1,Preservatives & Antimicrobials,-0.3330170114469566,-3.0921965454007183
CI 26105,0,Surfactants & Emulsifiers,7.0814204708888004,1.5637082838770922
MICROCRYSTALLINE WAX,3,Inorganic Salts & Acids,8.811668350935769,-6.158686388459211
CI 14700,4,Fatty Acids & Waxes,26.07589361117855,18.415821045739357
HYDROCHLORIC ACID,1,Preservatives & Antimicrobials,-7.3446123190134225,0.7264630734416612
SODIUM HYPOCHLORITE,1,Preservatives & Antimicrobials,-5.457966599700665,1.928598993779548
SODIUM HYPOCHLORITE,1,Preservatives & Antimicrobials,-6.208368199707045,2.3307436802215027
COCONUT ACID,1,Preservatives & Antimicrobials,-0.5059151990533184,-2.0914708841548464
STEARIC ACID,1,Preservatives & Antimicrobials,-1.3586432296791715,-1.5195415775490653
SODIUM TETRABORATE,1,Preservatives & Antimicrobials,-2.054358245930511,2.3695991093707445
POTASSIUM CHLORIDE,1,Preservatives & Antimicrobials,-6.778304934835599,3.448225535806363
SODIUM SILICATE,0,Surfactants & Emulsifiers,1.4120608377917168,-0.8427911063518818
POTASSIUM HYDROXIDE,1,Preservatives & Antimicrobials,-6.761903430952142,3.097597399954984
ISOPROPYL MYRISTATE,1,Preservatives & Antimicrobials,-1.674108157708609,-1.9540514114022436
