inci_name,cas_number,pubchem_cid,canonical_smiles,iupac_name,molecular_formula,molecular_weight,smiles_source,match_method,confidence,notes
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
FORMALDEHYDE,50-00-0,712,C=O,formaldehyde,CH2O,30.026,cid_from_step2,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
NONOXYNOL-9,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,OCR variant of Nonyl-Phenol Ethoxylé
SODIUM LAURETH SULFATE,3088-31-1 / 9004-82-4 / 68891-38-3 / 1335-72-4 / 68585-34-2 / 91648-56-5,23682204,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],sodium 2-(2-dodecoxyethoxy)ethyl sulfate,C16H33NaO6S,376.5,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'lauryl-ether sulfate de sodium' -> 'SODIUM LAURETH SULFATE'
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,Fuzzy match — explicit CID added
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
GLYCERIN,56-81-5,753,C(C(CO)O)O,"propane-1,2,3-triol",C3H8O3,92.09,cid_from_step2,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,C1COC2=NC3=CC=CC=C3C(=C21)[O-].[Na+],"sodium 2,3-dihydrofuro[2,3-b]quinolin-4-olate",C11H8NNaO2,209.18,cid_from_step2,manual_map,high,
SODIUM HYDROXIDE,1310-73-2,14798,[OH-].[Na+],sodium hydroxide,HNaO,39.997,cid_from_step2,manual_map,high,NaOH
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
TETRASODIUM EDTA,64-02-8,33040,CCCCOCCCOC(=O)CCOC1=CC(=C(C=C1Cl)Cl)Cl,"3-butoxypropyl 3-(2,4,5-trichlorophenoxy)propanoate",C16H21Cl3O4,383.7,cid_from_step2,manual_map,high,Tetrasodium EDTA assumed; could be disodium
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
PHOSPHONATE COMPOUND,,,,,,,not_applicable,manual_map,high,Generic phosphonate class — CAS depends on specific compound
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
