descriptor,source,nan_rate,kept
MaxAbsEStateIndex,rdkit,0.0,True
MaxEStateIndex,rdkit,0.0,True
MinAbsEStateIndex,rdkit,0.0,True
MinEStateIndex,rdkit,0.0,True
qed,rdkit,0.0,True
SPS,rdkit,0.0,True
MolWt,rdkit,0.0,True
HeavyAtomMolWt,rdkit,0.0,True
ExactMolWt,rdkit,0.0,True
NumValenceElectrons,rdkit,0.0,True
NumRadicalElectrons,rdkit,0.0,True
MaxPartialCharge,rdkit,0.010101010101010102,True
MinPartialCharge,rdkit,0.010101010101010102,True
MaxAbsPartialCharge,rdkit,0.010101010101010102,True
MinAbsPartialCharge,rdkit,0.010101010101010102,True
FpDensityMorgan1,rdkit,0.0,True
FpDensityMorgan2,rdkit,0.0,True
FpDensityMorgan3,rdkit,0.0,True
BCUT2D_MWHI,rdkit,0.2828282828282828,False
BCUT2D_MWLOW,rdkit,0.2828282828282828,False
BCUT2D_CHGHI,rdkit,0.2828282828282828,False
BCUT2D_CHGLO,rdkit,0.2828282828282828,False
BCUT2D_LOGPHI,rdkit,0.2828282828282828,False
BCUT2D_LOGPLOW,rdkit,0.2828282828282828,False
BCUT2D_MRHI,rdkit,0.2828282828282828,False
BCUT2D_MRLOW,rdkit,0.2828282828282828,False
AvgIpc,rdkit,0.0,True
BalabanJ,rdkit,0.0,True
BertzCT,rdkit,0.0,True
Chi0,rdkit,0.0,True
Chi0n,rdkit,0.0,True
Chi0v,rdkit,0.0,True
Chi1,rdkit,0.0,True
Chi1n,rdkit,0.0,True
Chi1v,rdkit,0.0,True
Chi2n,rdkit,0.0,True
Chi2v,rdkit,0.0,True
Chi3n,rdkit,0.0,True
Chi3v,rdkit,0.0,True
Chi4n,rdkit,0.0,True
Chi4v,rdkit,0.0,True
HallKierAlpha,rdkit,0.0,True
Kappa1,rdkit,0.0,True
Kappa2,rdkit,0.0,True
Kappa3,rdkit,0.0,True
LabuteASA,rdkit,0.0,True
PEOE_VSA1,rdkit,0.0,True
PEOE_VSA10,rdkit,0.0,True
PEOE_VSA11,rdkit,0.0,True
PEOE_VSA12,rdkit,0.0,True
PEOE_VSA13,rdkit,0.0,True
PEOE_VSA14,rdkit,0.0,True
PEOE_VSA2,rdkit,0.0,True
PEOE_VSA3,rdkit,0.0,True
PEOE_VSA4,rdkit,0.0,True
PEOE_VSA5,rdkit,0.0,True
PEOE_VSA6,rdkit,0.0,True
PEOE_VSA7,rdkit,0.0,True
PEOE_VSA8,rdkit,0.0,True
PEOE_VSA9,rdkit,0.0,True
SMR_VSA1,rdkit,0.0,True
SMR_VSA10,rdkit,0.0,True
SMR_VSA2,rdkit,0.0,True
SMR_VSA3,rdkit,0.0,True
SMR_VSA4,rdkit,0.0,True
SMR_VSA5,rdkit,0.0,True
SMR_VSA6,rdkit,0.0,True
SMR_VSA7,rdkit,0.0,True
SMR_VSA8,rdkit,0.0,True
SMR_VSA9,rdkit,0.0,True
SlogP_VSA1,rdkit,0.0,True
SlogP_VSA10,rdkit,0.0,True
SlogP_VSA11,rdkit,0.0,True
SlogP_VSA12,rdkit,0.0,True
SlogP_VSA2,rdkit,0.0,True
SlogP_VSA3,rdkit,0.0,True
SlogP_VSA4,rdkit,0.0,True
SlogP_VSA5,rdkit,0.0,True
SlogP_VSA6,rdkit,0.0,True
SlogP_VSA7,rdkit,0.0,True
SlogP_VSA8,rdkit,0.0,True
SlogP_VSA9,rdkit,0.0,True
TPSA,rdkit,0.0,True
EState_VSA1,rdkit,0.0,True
EState_VSA10,rdkit,0.0,True
EState_VSA11,rdkit,0.0,True
EState_VSA2,rdkit,0.0,True
EState_VSA3,rdkit,0.0,True
EState_VSA4,rdkit,0.0,True
EState_VSA5,rdkit,0.0,True
EState_VSA6,rdkit,0.0,True
EState_VSA7,rdkit,0.0,True
EState_VSA8,rdkit,0.0,True
EState_VSA9,rdkit,0.0,True
VSA_EState1,rdkit,0.0,True
VSA_EState10,rdkit,0.0,True
VSA_EState2,rdkit,0.0,True
VSA_EState3,rdkit,0.0,True
VSA_EState4,rdkit,0.0,True
VSA_EState5,rdkit,0.0,True
VSA_EState6,rdkit,0.0,True
VSA_EState7,rdkit,0.0,True
VSA_EState8,rdkit,0.0,True
VSA_EState9,rdkit,0.0,True
FractionCSP3,rdkit,0.0,True
HeavyAtomCount,rdkit,0.0,True
NHOHCount,rdkit,0.0,True
NOCount,rdkit,0.0,True
NumAliphaticCarbocycles,rdkit,0.0,True
NumAliphaticHeterocycles,rdkit,0.0,True
NumAliphaticRings,rdkit,0.0,True
NumAmideBonds,rdkit,0.0,True
NumAromaticCarbocycles,rdkit,0.0,True
NumAromaticHeterocycles,rdkit,0.0,True
NumAromaticRings,rdkit,0.0,True
NumAtomStereoCenters,rdkit,0.0,True
NumBridgeheadAtoms,rdkit,0.0,True
NumHAcceptors,rdkit,0.0,True
NumHDonors,rdkit,0.0,True
NumHeteroatoms,rdkit,0.0,True
NumHeterocycles,rdkit,0.0,True
NumRotatableBonds,rdkit,0.0,True
NumSaturatedCarbocycles,rdkit,0.0,True
